Central Ark.,7
N.C. A&T,10
McNeese,9
Southeast Mo. St.,5
New Orleans,10
Northwestern St.,8
Delaware St.,7
Ill.-Chicago,5
UTSA,5
Chicago St.,4
Florida A&M,8
Grambling,7
Central Conn. St.,4
